Time,Temp
0,-2.2
3.00,1
5.00,1
6.00,5.6
6.00,5.6
9.00,8.2
12.00,8
15.00,7.8
18.00,7.5
21.00,7
24.00,6.5
27.00,6
30.00,5.4
33.00,4.9
36.00,4.3
39.00,3.8
42.00,3.3
45.00,2.8
47.00,2.8
47.00,2.8
47.00,2.8
48.00,2.4
49.00,2.4
49.00,2.4
49.00,2.4
51.00,2
54.00,1.5
57.00,1.2
60.00,0.8
63.00,0.5
66.00,0.1
69.00,-0.1
71.00,-0.1
72.00,3.7
74.00,3.7
75.00,6.8
78.00,6.7
81.00,5.8
84.00,4.9
87.00,4.3
90.00,3.8
93.00,3.4
96.00,2.9
97.00,2.9
97.00,2.9
97.00,2.9
99.00,2.4
99.00,2.4
99.00,2.4
102.00,1.9
105.00,1.5
108.00,1
111.00,0.5
114.00,0.2
117.00,-0.2
120.00,-0.6
123.00,-0.9
126.00,-1.2
129.00,-1.6
132.00,-1.8
135.00,-1.2
138.00,3.5
141.00,5.7
144.00,5.6
147.00,4.8
150.00,4
153.00,3.3
156.00,2.8
159.00,2.2
162.00,1.7
165.00,1.3
168.00,0.8
171.00,0.3
174.00,-0.1
177.00,-0.4
180.00,-0.9
183.00,-1.2
186.00,-1.6
189.00,-2
192.00,-2.3
195.00,-2.6
198.00,-3
201.00,-3.3
204.00,-3.6
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
